year,state,state_po,office,candidate,candidatevotes,totalvotes
2020,NORTH DAKOTA,ND,US PRESIDENT,"BIDEN, JOSEPH R. JR",114902,361819
2020,NORTH DAKOTA,ND,US PRESIDENT,"TRUMP, DONALD J.",235595,361819
2020,OHIO,OH,US PRESIDENT,"BIDEN, JOSEPH R. JR",2679165,5922202
2020,OHIO,OH,US PRESIDENT,"TRUMP, DONALD J.",3154834,5922202
2020,OKLAHOMA,OK,US PRESIDENT,"BIDEN, JOSEPH R. JR",503890,1560699
2020,OKLAHOMA,OK,US PRESIDENT,"TRUMP, DONALD J.",1020280,1560699
2020,OREGON,OR,US PRESIDENT,"BIDEN, JOSEPH R. JR",1340383,2374321
2020,OREGON,OR,US PRESIDENT,"TRUMP, DONALD J.",958448,2374321
2020,PENNSYLVANIA,PA,US PRESIDENT,"BIDEN, JOSEPH R. JR",3458229,6915283
2020,PENNSYLVANIA,PA,US PRESIDENT,"TRUMP, DONALD J.",3377674,6915283
2020,RHODE ISLAND,RI,US PRESIDENT,"BIDEN, JOSEPH R. JR",307486,516990
2020,RHODE ISLAND,RI,US PRESIDENT,"TRUMP, DONALD J.",199922,516990
2020,SOUTH CAROLINA,SC,US PRESIDENT,"BIDEN, JOSEPH R. JR",1091541,2514096
2020,SOUTH CAROLINA,SC,US PRESIDENT,"TRUMP, DONALD J.",1385103,2514096
2020,SOUTH DAKOTA,SD,US PRESIDENT,"BIDEN, JOSEPH R. JR",150471,422609
2020,SOUTH DAKOTA,SD,US PRESIDENT,"TRUMP, DONALD J.",261043,422609
2020,TENNESSEE,TN,US PRESIDENT,"BIDEN, JOSEPH R. JR",1143711,3053851
2020,TENNESSEE,TN,US PRESIDENT,"TRUMP, DONALD J.",1852475,3053851
2020,TEXAS,TX,US PRESIDENT,"BIDEN, JOSEPH R. JR",5259126,11315056
2020,TEXAS,TX,US PRESIDENT,"TRUMP, DONALD J.",5890347,11315056
2020,UTAH,UT,US PRESIDENT,"BIDEN, JOSEPH R. JR",560282,1488289
2020,UTAH,UT,US PRESIDENT,"TRUMP, DONALD J.",865140,1488289
2020,VERMONT,VT,US PRESIDENT,"BIDEN, JOSEPH R. JR",242820,370968
2020,VERMONT,VT,US PRESIDENT,"TRUMP, DONALD J.",112704,370968
2020,VIRGINIA,VA,US PRESIDENT,"BIDEN, JOSEPH R. JR",2413568,4460524
2020,VIRGINIA,VA,US PRESIDENT,"TRUMP, DONALD J.",1962430,4460524
2020,WASHINGTON,WA,US PRESIDENT,"BIDEN, JOSEPH R. JR",2369612,4087631
2020,WASHINGTON,WA,US PRESIDENT,"TRUMP, DONALD J.",1584651,4087631
2020,WEST VIRGINIA,WV,US PRESIDENT,"BIDEN, JOSEPH R. JR",235984,794652
2020,WEST VIRGINIA,WV,US PRESIDENT,"TRUMP, DONALD J.",545382,794652
2020,WISCONSIN,WI,US PRESIDENT,"BIDEN, JOSEPH R. JR",1630866,3298041
2020,WISCONSIN,WI,US PRESIDENT,"TRUMP, DONALD J.",1610184,3298041
2020,WYOMING,WY,US PRESIDENT,"BIDEN, JOSEPH R. JR",73491,278503
2020,WYOMING,WY,US PRESIDENT,"TRUMP, DONALD J.",193559,278503
